brgyDesc,muncity,province,region,zipCode
Amancosiling Norte,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Amancosiling Sur,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Ambayat I,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Ambayat II,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Apalen,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Asin,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Ataynan,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Bacnono,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Balaybuaya,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Banaban,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Bani,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Batangcawa,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Beleng,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Bical Norte,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Bical Sur,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Bongato East,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Bongato West,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Buayaen,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Buenlag 1st,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Buenlag 2nd,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Cadre Site,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Carungay,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Caturay,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Duera,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Dusoc,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Hermoza,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Idong,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Inanlorenzana,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Inirangan,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Iton,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Langiran,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Ligue,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
M. H. del Pilar,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Macayocayo,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Magsaysay,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Maigpa,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Malimpec,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Malioer,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Managos,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Manambong Norte,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Manambong Parte,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Manambong Sur,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Mangayao,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Nalsian Norte,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Nalsian Sur,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Pangdel,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Pantol,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Paragos,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Poblacion Sur,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Pugo,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Reynado,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
San Gabriel 1st,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
San Gabriel 2nd,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
San Vicente,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Sangcagulis,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Sanlibo,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Sapang,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Tamaro,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Tambac,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Tampog,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Darawey (Tangal),Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Tanolong,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Tatarao,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Telbang,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Tococ East,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Tococ West,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Warding,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Wawa,Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Zone I (Pob.),Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Zone II (Pob.),Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Zone III (Pob.),Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Zone IV (Pob.),Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Zone V (Pob.),Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Zone VI (Pob.),Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Zone VII (Pob.),Bayambang,Pangasinan,REGION I (Ilocos Region),2423
Balangobong,Binalonan,Pangasinan,REGION I (Ilocos Region),2436
Bued,Binalonan,Pangasinan,REGION I (Ilocos Region),2436
Bugayong,Binalonan,Pangasinan,REGION I (Ilocos Region),2436
Camangaan,Binalonan,Pangasinan,REGION I (Ilocos Region),2436
Canarvacanan,Binalonan,Pangasinan,REGION I (Ilocos Region),2436
Capas,Binalonan,Pangasinan,REGION I (Ilocos Region),2436
Cili,Binalonan,Pangasinan,REGION I (Ilocos Region),2436
Dumayat,Binalonan,Pangasinan,REGION I (Ilocos Region),2436
Linmansangan,Binalonan,Pangasinan,REGION I (Ilocos Region),2436
Mangcasuy,Binalonan,Pangasinan,REGION I (Ilocos Region),2436
Moreno,Binalonan,Pangasinan,REGION I (Ilocos Region),2436
Pasileng Norte,Binalonan,Pangasinan,REGION I (Ilocos Region),2436
Pasileng Sur,Binalonan,Pangasinan,REGION I (Ilocos Region),2436
Poblacion,Binalonan,Pangasinan,REGION I (Ilocos Region),2436
San Felipe Central,Binalonan,Pangasinan,REGION I (Ilocos Region),2436
San Felipe Sur,Binalonan,Pangasinan,REGION I (Ilocos Region),2436
San Pablo,Binalonan,Pangasinan,REGION I (Ilocos Region),2436
Santa Catalina,Binalonan,Pangasinan,REGION I (Ilocos Region),2436
Santa Maria Norte,Binalonan,Pangasinan,REGION I (Ilocos Region),2436
Santiago,Binalonan,Pangasinan,REGION I (Ilocos Region),2436
Santo Ni̱o,Binalonan,Pangasinan,REGION I (Ilocos Region),2436
Sumabnit,Binalonan,Pangasinan,REGION I (Ilocos Region),2436
Tabuyoc,Binalonan,Pangasinan,REGION I (Ilocos Region),2436
Vacante,Binalonan,Pangasinan,REGION I (Ilocos Region),2436
Amancoro,Binmaley,Pangasinan,REGION I (Ilocos Region),2417
Balagan,Binmaley,Pangasinan,REGION I (Ilocos Region),2417
Balogo,Binmaley,Pangasinan,REGION I (Ilocos Region),2417
Basing,Binmaley,Pangasinan,REGION I (Ilocos Region),2417
Baybay Lopez,Binmaley,Pangasinan,REGION I (Ilocos Region),2417
Baybay Polong,Binmaley,Pangasinan,REGION I (Ilocos Region),2417
Biec,Binmaley,Pangasinan,REGION I (Ilocos Region),2417
Buenlag,Binmaley,Pangasinan,REGION I (Ilocos Region),2417
Calit,Binmaley,Pangasinan,REGION I (Ilocos Region),2417
Caloocan Norte,Binmaley,Pangasinan,REGION I (Ilocos Region),2417
Caloocan Sur,Binmaley,Pangasinan,REGION I (Ilocos Region),2417
Camaley,Binmaley,Pangasinan,REGION I (Ilocos Region),2417
Canaoalan,Binmaley,Pangasinan,REGION I (Ilocos Region),2417
Dulag,Binmaley,Pangasinan,REGION I (Ilocos Region),2417
Gayaman,Binmaley,Pangasinan,REGION I (Ilocos Region),2417
Linoc,Binmaley,Pangasinan,REGION I (Ilocos Region),2417
Lomboy,Binmaley,Pangasinan,REGION I (Ilocos Region),2417
Nagpalangan,Binmaley,Pangasinan,REGION I (Ilocos Region),2417
Malindong,Binmaley,Pangasinan,REGION I (Ilocos Region),2417
Manat,Binmaley,Pangasinan,REGION I (Ilocos Region),2417
Naguilayan,Binmaley,Pangasinan,REGION I (Ilocos Region),2417
Pallas,Binmaley,Pangasinan,REGION I (Ilocos Region),2417
Papagueyan,Binmaley,Pangasinan,REGION I (Ilocos Region),2417
Parayao,Binmaley,Pangasinan,REGION I (Ilocos Region),2417
Poblacion,Binmaley,Pangasinan,REGION I (Ilocos Region),2417
Pototan,Binmaley,Pangasinan,REGION I (Ilocos Region),2417
Sabangan,Binmaley,Pangasinan,REGION I (Ilocos Region),2417
Salapingao,Binmaley,Pangasinan,REGION I (Ilocos Region),2417
San Isidro Norte,Binmaley,Pangasinan,REGION I (Ilocos Region),2417
San Isidro Sur,Binmaley,Pangasinan,REGION I (Ilocos Region),2417
Santa Rosa,Binmaley,Pangasinan,REGION I (Ilocos Region),2417
Tombor,Binmaley,Pangasinan,REGION I (Ilocos Region),2417
Caloocan Dupo,Binmaley,Pangasinan,REGION I (Ilocos Region),2417
Arnedo,Bolinao,Pangasinan,REGION I (Ilocos Region),2406
Balingasay,Bolinao,Pangasinan,REGION I (Ilocos Region),2406
Binabalian,Bolinao,Pangasinan,REGION I (Ilocos Region),2406
Cabuyao,Bolinao,Pangasinan,REGION I (Ilocos Region),2406
Catuday,Bolinao,Pangasinan,REGION I (Ilocos Region),2406
Catungi,Bolinao,Pangasinan,REGION I (Ilocos Region),2406
Concordia (Pob.),Bolinao,Pangasinan,REGION I (Ilocos Region),2406
Culang,Bolinao,Pangasinan,REGION I (Ilocos Region),2406
Dewey,Bolinao,Pangasinan,REGION I (Ilocos Region),2406
Estanza,Bolinao,Pangasinan,REGION I (Ilocos Region),2406
Germinal (Pob.),Bolinao,Pangasinan,REGION I (Ilocos Region),2406
Goyoden,Bolinao,Pangasinan,REGION I (Ilocos Region),2406
Ilogmalino,Bolinao,Pangasinan,REGION I (Ilocos Region),2406
Lambes (Lames),Bolinao,Pangasinan,REGION I (Ilocos Region),2406
Liwa-liwa,Bolinao,Pangasinan,REGION I (Ilocos Region),2406
Lucero,Bolinao,Pangasinan,REGION I (Ilocos Region),2406
Luciente 1.0,Bolinao,Pangasinan,REGION I (Ilocos Region),2406
Luciente 2.0,Bolinao,Pangasinan,REGION I (Ilocos Region),2406
Luna,Bolinao,Pangasinan,REGION I (Ilocos Region),2406
Patar,Bolinao,Pangasinan,REGION I (Ilocos Region),2406
Pilar,Bolinao,Pangasinan,REGION I (Ilocos Region),2406
Salud,Bolinao,Pangasinan,REGION I (Ilocos Region),2406
Samang Norte,Bolinao,Pangasinan,REGION I (Ilocos Region),2406
Samang Sur,Bolinao,Pangasinan,REGION I (Ilocos Region),2406
Sampaloc,Bolinao,Pangasinan,REGION I (Ilocos Region),2406
San Roque,Bolinao,Pangasinan,REGION I (Ilocos Region),2406
Tara,Bolinao,Pangasinan,REGION I (Ilocos Region),2406
Tupa,Bolinao,Pangasinan,REGION I (Ilocos Region),2406
Victory,Bolinao,Pangasinan,REGION I (Ilocos Region),2406
Zaragoza,Bolinao,Pangasinan,REGION I (Ilocos Region),2406
Angarian,Bugallon,Pangasinan,REGION I (Ilocos Region),2416
Asinan,Bugallon,Pangasinan,REGION I (Ilocos Region),2416
Banaga,Bugallon,Pangasinan,REGION I (Ilocos Region),2416
Bacabac,Bugallon,Pangasinan,REGION I (Ilocos Region),2416
Bolaoen,Bugallon,Pangasinan,REGION I (Ilocos Region),2416
Buenlag,Bugallon,Pangasinan,REGION I (Ilocos Region),2416
Cabayaoasan,Bugallon,Pangasinan,REGION I (Ilocos Region),2416
Cayanga,Bugallon,Pangasinan,REGION I (Ilocos Region),2416
Gueset,Bugallon,Pangasinan,REGION I (Ilocos Region),2416
Hacienda,Bugallon,Pangasinan,REGION I (Ilocos Region),2416
Laguit Centro,Bugallon,Pangasinan,REGION I (Ilocos Region),2416
Laguit Padilla,Bugallon,Pangasinan,REGION I (Ilocos Region),2416
Magtaking,Bugallon,Pangasinan,REGION I (Ilocos Region),2416
Pangascasan,Bugallon,Pangasinan,REGION I (Ilocos Region),2416
Pantal,Bugallon,Pangasinan,REGION I (Ilocos Region),2416
Poblacion,Bugallon,Pangasinan,REGION I (Ilocos Region),2416
Polong,Bugallon,Pangasinan,REGION I (Ilocos Region),2416
Portic,Bugallon,Pangasinan,REGION I (Ilocos Region),2416
Salasa,Bugallon,Pangasinan,REGION I (Ilocos Region),2416
Salomague Norte,Bugallon,Pangasinan,REGION I (Ilocos Region),2416
Salomague Sur,Bugallon,Pangasinan,REGION I (Ilocos Region),2416
Samat,Bugallon,Pangasinan,REGION I (Ilocos Region),2416
San Francisco,Bugallon,Pangasinan,REGION I (Ilocos Region),2416
Umanday,Bugallon,Pangasinan,REGION I (Ilocos Region),2416
Anapao (Bur Anapac),Burgos,Pangasinan,REGION I (Ilocos Region),2410
Cacayasen,Burgos,Pangasinan,REGION I (Ilocos Region),2410
Concordia,Burgos,Pangasinan,REGION I (Ilocos Region),2410
Ilio-ilio (Iliw-iliw),Burgos,Pangasinan,REGION I (Ilocos Region),2410
Papallasen,Burgos,Pangasinan,REGION I (Ilocos Region),2410
Poblacion,Burgos,Pangasinan,REGION I (Ilocos Region),2410
Pogoruac,Burgos,Pangasinan,REGION I (Ilocos Region),2410
Don Matias,Burgos,Pangasinan,REGION I (Ilocos Region),2410
San Miguel,Burgos,Pangasinan,REGION I (Ilocos Region),2410
San Pascual,Burgos,Pangasinan,REGION I (Ilocos Region),2410
San Vicente,Burgos,Pangasinan,REGION I (Ilocos Region),2410
Sapa Grande,Burgos,Pangasinan,REGION I (Ilocos Region),2410
Sapa Peque̱a,Burgos,Pangasinan,REGION I (Ilocos Region),2410
Tambacan,Burgos,Pangasinan,REGION I (Ilocos Region),2410
Ambonao,Calasiao,Pangasinan,REGION I (Ilocos Region),2418
Ambuetel,Calasiao,Pangasinan,REGION I (Ilocos Region),2418
Banaoang,Calasiao,Pangasinan,REGION I (Ilocos Region),2418
Bued,Calasiao,Pangasinan,REGION I (Ilocos Region),2418
Buenlag,Calasiao,Pangasinan,REGION I (Ilocos Region),2418
Cabilocaan,Calasiao,Pangasinan,REGION I (Ilocos Region),2418
Dinalaoan,Calasiao,Pangasinan,REGION I (Ilocos Region),2418
Doyong,Calasiao,Pangasinan,REGION I (Ilocos Region),2418
Gabon,Calasiao,Pangasinan,REGION I (Ilocos Region),2418
Lasip,Calasiao,Pangasinan,REGION I (Ilocos Region),2418
Longos,Calasiao,Pangasinan,REGION I (Ilocos Region),2418
Lumbang,Calasiao,Pangasinan,REGION I (Ilocos Region),2418
Macabito,Calasiao,Pangasinan,REGION I (Ilocos Region),2418
Malabago,Calasiao,Pangasinan,REGION I (Ilocos Region),2418
Mancup,Calasiao,Pangasinan,REGION I (Ilocos Region),2418
Nagsaing,Calasiao,Pangasinan,REGION I (Ilocos Region),2418
Nalsian,Calasiao,Pangasinan,REGION I (Ilocos Region),2418
Poblacion East,Calasiao,Pangasinan,REGION I (Ilocos Region),2418
Poblacion West,Calasiao,Pangasinan,REGION I (Ilocos Region),2418
Quesban,Calasiao,Pangasinan,REGION I (Ilocos Region),2418
San Miguel,Calasiao,Pangasinan,REGION I (Ilocos Region),2418
San Vicente,Calasiao,Pangasinan,REGION I (Ilocos Region),2418
Songkoy,Calasiao,Pangasinan,REGION I (Ilocos Region),2418
Talibaew,Calasiao,Pangasinan,REGION I (Ilocos Region),2418
Bacayao Norte,Dagupan City,Pangasinan,REGION I (Ilocos Region),2400
Bacayao Sur,Dagupan City,Pangasinan,REGION I (Ilocos Region),2400
Barangay II (Nueva),Dagupan City,Pangasinan,REGION I (Ilocos Region),2400
Barangay IV (Zamora),Dagupan City,Pangasinan,REGION I (Ilocos Region),2400
Bolosan,Dagupan City,Pangasinan,REGION I (Ilocos Region),2400
Bonuan Binloc,Dagupan City,Pangasinan,REGION I (Ilocos Region),2400
Bonuan Boquig,Dagupan City,Pangasinan,REGION I (Ilocos Region),2400
Bonuan Gueset,Dagupan City,Pangasinan,REGION I (Ilocos Region),2400
Calmay,Dagupan City,Pangasinan,REGION I (Ilocos Region),2400
Carael,Dagupan City,Pangasinan,REGION I (Ilocos Region),2400
Caranglaan,Dagupan City,Pangasinan,REGION I (Ilocos Region),2400
Herrero,Dagupan City,Pangasinan,REGION I (Ilocos Region),2400
Lasip Chico,Dagupan City,Pangasinan,REGION I (Ilocos Region),2400
Lasip Grande,Dagupan City,Pangasinan,REGION I (Ilocos Region),2400
Lomboy,Dagupan City,Pangasinan,REGION I (Ilocos Region),2400
Lucao,Dagupan City,Pangasinan,REGION I (Ilocos Region),2400
Malued,Dagupan City,Pangasinan,REGION I (Ilocos Region),2400
Mamalingling,Dagupan City,Pangasinan,REGION I (Ilocos Region),2400
Mangin,Dagupan City,Pangasinan,REGION I (Ilocos Region),2400
Mayombo,Dagupan City,Pangasinan,REGION I (Ilocos Region),2400
Pantal,Dagupan City,Pangasinan,REGION I (Ilocos Region),2400
Poblacion Oeste,Dagupan City,Pangasinan,REGION I (Ilocos Region),2400
Barangay I (T. Bugallon),Dagupan City,Pangasinan,REGION I (Ilocos Region),2400
Pogo Chico,Dagupan City,Pangasinan,REGION I (Ilocos Region),2400
Pogo Grande,Dagupan City,Pangasinan,REGION I (Ilocos Region),2400
Pugaro Suit,Dagupan City,Pangasinan,REGION I (Ilocos Region),2400
Salapingao,Dagupan City,Pangasinan,REGION I (Ilocos Region),2400
Salisay,Dagupan City,Pangasinan,REGION I (Ilocos Region),2400
Tambac,Dagupan City,Pangasinan,REGION I (Ilocos Region),2400
Tapuac,Dagupan City,Pangasinan,REGION I (Ilocos Region),2400
Tebeng,Dagupan City,Pangasinan,REGION I (Ilocos Region),2400
Alilao,Dasol,Pangasinan,REGION I (Ilocos Region),2411
Amalbalan,Dasol,Pangasinan,REGION I (Ilocos Region),2411
Bobonot,Dasol,Pangasinan,REGION I (Ilocos Region),2411
Eguia,Dasol,Pangasinan,REGION I (Ilocos Region),2411
Gais-Guipe,Dasol,Pangasinan,REGION I (Ilocos Region),2411
Hermosa,Dasol,Pangasinan,REGION I (Ilocos Region),2411
Macalang,Dasol,Pangasinan,REGION I (Ilocos Region),2411
Magsaysay,Dasol,Pangasinan,REGION I (Ilocos Region),2411
Malacapas,Dasol,Pangasinan,REGION I (Ilocos Region),2411
Malimpin,Dasol,Pangasinan,REGION I (Ilocos Region),2411
Osme̱a,Dasol,Pangasinan,REGION I (Ilocos Region),2411
Petal,Dasol,Pangasinan,REGION I (Ilocos Region),2411
Poblacion,Dasol,Pangasinan,REGION I (Ilocos Region),2411
San Vicente,Dasol,Pangasinan,REGION I (Ilocos Region),2411
Tambac,Dasol,Pangasinan,REGION I (Ilocos Region),2411
Tambobong,Dasol,Pangasinan,REGION I (Ilocos Region),2411
Uli,Dasol,Pangasinan,REGION I (Ilocos Region),2411
Viga,Dasol,Pangasinan,REGION I (Ilocos Region),2411
Bamban,Infanta,Pangasinan,REGION I (Ilocos Region),2412
Batang,Infanta,Pangasinan,REGION I (Ilocos Region),2412
Bayambang,Infanta,Pangasinan,REGION I (Ilocos Region),2412
Cato,Infanta,Pangasinan,REGION I (Ilocos Region),2412
Doliman,Infanta,Pangasinan,REGION I (Ilocos Region),2412
Fatima,Infanta,Pangasinan,REGION I (Ilocos Region),2412
Maya,Infanta,Pangasinan,REGION I (Ilocos Region),2412
Nangalisan,Infanta,Pangasinan,REGION I (Ilocos Region),2412
Nayom,Infanta,Pangasinan,REGION I (Ilocos Region),2412
Pita,Infanta,Pangasinan,REGION I (Ilocos Region),2412
Poblacion,Infanta,Pangasinan,REGION I (Ilocos Region),2412
Potol,Infanta,Pangasinan,REGION I (Ilocos Region),2412
Babuyan,Infanta,Pangasinan,REGION I (Ilocos Region),2412
Bolo,Labrador,Pangasinan,REGION I (Ilocos Region),2402
Bongalon,Labrador,Pangasinan,REGION I (Ilocos Region),2402
Dulig,Labrador,Pangasinan,REGION I (Ilocos Region),2402
Laois,Labrador,Pangasinan,REGION I (Ilocos Region),2402
Magsaysay,Labrador,Pangasinan,REGION I (Ilocos Region),2402
Poblacion,Labrador,Pangasinan,REGION I (Ilocos Region),2402
San Gonzalo,Labrador,Pangasinan,REGION I (Ilocos Region),2402
San Jose,Labrador,Pangasinan,REGION I (Ilocos Region),2402
Tobuan,Labrador,Pangasinan,REGION I (Ilocos Region),2402
Uyong,Labrador,Pangasinan,REGION I (Ilocos Region),2402
Aliwekwek,Lingayen (Capital),Pangasinan,REGION I (Ilocos Region),2401
Baay,Lingayen (Capital),Pangasinan,REGION I (Ilocos Region),2401
Balangobong,Lingayen (Capital),Pangasinan,REGION I (Ilocos Region),2401
Balococ,Lingayen (Capital),Pangasinan,REGION I (Ilocos Region),2401
Bantayan,Lingayen (Capital),Pangasinan,REGION I (Ilocos Region),2401
Basing,Lingayen (Capital),Pangasinan,REGION I (Ilocos Region),2401
Capandanan,Lingayen (Capital),Pangasinan,REGION I (Ilocos Region),2401
Domalandan Center,Lingayen (Capital),Pangasinan,REGION I (Ilocos Region),2401
Domalandan East,Lingayen (Capital),Pangasinan,REGION I (Ilocos Region),2401
Domalandan West,Lingayen (Capital),Pangasinan,REGION I (Ilocos Region),2401
Dorongan,Lingayen (Capital),Pangasinan,REGION I (Ilocos Region),2401
Dulag,Lingayen (Capital),Pangasinan,REGION I (Ilocos Region),2401
Estanza,Lingayen (Capital),Pangasinan,REGION I (Ilocos Region),2401
Lasip,Lingayen (Capital),Pangasinan,REGION I (Ilocos Region),2401
Libsong East,Lingayen (Capital),Pangasinan,REGION I (Ilocos Region),2401
Libsong West,Lingayen (Capital),Pangasinan,REGION I (Ilocos Region),2401
Malawa,Lingayen (Capital),Pangasinan,REGION I (Ilocos Region),2401
Malimpuec,Lingayen (Capital),Pangasinan,REGION I (Ilocos Region),2401
Maniboc,Lingayen (Capital),Pangasinan,REGION I (Ilocos Region),2401
Matalava,Lingayen (Capital),Pangasinan,REGION I (Ilocos Region),2401
Naguelguel,Lingayen (Capital),Pangasinan,REGION I (Ilocos Region),2401
Namolan,Lingayen (Capital),Pangasinan,REGION I (Ilocos Region),2401
Pangapisan North,Lingayen (Capital),Pangasinan,REGION I (Ilocos Region),2401
Pangapisan Sur,Lingayen (Capital),Pangasinan,REGION I (Ilocos Region),2401
Poblacion,Lingayen (Capital),Pangasinan,REGION I (Ilocos Region),2401
Quibaol,Lingayen (Capital),Pangasinan,REGION I (Ilocos Region),2401
Rosario,Lingayen (Capital),Pangasinan,REGION I (Ilocos Region),2401
Sabangan,Lingayen (Capital),Pangasinan,REGION I (Ilocos Region),2401
Talogtog,Lingayen (Capital),Pangasinan,REGION I (Ilocos Region),2401
Tonton,Lingayen (Capital),Pangasinan,REGION I (Ilocos Region),2401
Tumbar,Lingayen (Capital),Pangasinan,REGION I (Ilocos Region),2401
Wawa,Lingayen (Capital),Pangasinan,REGION I (Ilocos Region),2401
Bacnit,Mabini,Pangasinan,REGION I (Ilocos Region),2409
Barlo,Mabini,Pangasinan,REGION I (Ilocos Region),2409
Caabiangaan,Mabini,Pangasinan,REGION I (Ilocos Region),2409
Cabanaetan,Mabini,Pangasinan,REGION I (Ilocos Region),2409
Cabinuangan,Mabini,Pangasinan,REGION I (Ilocos Region),2409
Calzada,Mabini,Pangasinan,REGION I (Ilocos Region),2409
Caranglaan,Mabini,Pangasinan,REGION I (Ilocos Region),2409
De Guzman,Mabini,Pangasinan,REGION I (Ilocos Region),2409
Luna,Mabini,Pangasinan,REGION I (Ilocos Region),2409
Magalong,Mabini,Pangasinan,REGION I (Ilocos Region),2409
Nibaliw,Mabini,Pangasinan,REGION I (Ilocos Region),2409
Patar,Mabini,Pangasinan,REGION I (Ilocos Region),2409
Poblacion,Mabini,Pangasinan,REGION I (Ilocos Region),2409
San Pedro,Mabini,Pangasinan,REGION I (Ilocos Region),2409
Tagudin,Mabini,Pangasinan,REGION I (Ilocos Region),2409
Villacorta,Mabini,Pangasinan,REGION I (Ilocos Region),2409
Abonagan,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Agdao,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Alacan,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Aliaga,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Amacalan,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Anolid,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Apaya,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Asin Este,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Asin Weste,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Bacundao Este,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Bacundao Weste,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Bakitiw,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Balite,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Banawang,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Barang,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Bawer,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Binalay,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Bobon,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Bolaoit,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Bongar,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Butao,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Cabatling,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Cabueldatan,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Calbueg,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Canan Norte,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Canan Sur,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Cawayan Bogtong,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Don Pedro,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Gatang,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Goliman,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Gomez,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Guilig,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Ican,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Ingalagala,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Lareg-lareg,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Lasip,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Lepa,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Loqueb Este,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Loqueb Norte,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Loqueb Sur,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Lunec,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Mabulitec,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Malimpec,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Manggan-Dampay,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Nancapian,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
Nalsian Norte,Malasiqui,Pangasinan,REGION I (Ilocos Region),2421
